ID,Stepartist,Pack,Difficulty,Mode,Rating,Song,BPM,Steps,Measures,Length,16ths,24ths,32nds,Break,% Stream,Adj. % Stream,S/B Ratio,Density,Adj. Density,Breakdown,Tier,16ths Mod,16ths Rank,Diff Rating,Score,DP,EP,DP+EP,DP/EP,RP,AP,Total (no bonuses),Total,
1,Okami,StS,Expert,Single,12,Colorless Eyes,128,1858,130,4.06,107,0,0,8,0.8231,0.8425,13.38,7.74,7.74,7 7 7 7 7 16 (8) 7 15 7 7 8 3 2 7,120,81.33840145,16,11,1,174,750,924,521,1000,1000,1924,2924,126
2,ChasePines,The Starter Pack of Stamina 1.5,Expert,Single,12,Dancin KRONO Extended Remix,120,1849,136,4.53,108,0,0,0,0.7941,0.9643,0,7.22,7.8,7 7 15 7 72,120,101.8974281,20,11,1,0,950,950,571,1000,1000,1950,2950,
3,t3a,Unbuild of Sharpnel,Expert,Single,12,Uninstall,123,1870,143,4.67,111,0,0,14,0.7762,0.888,7.93,7.52,7.63,24 (2) 40 (2) 23 (10) 24,120,91.78753864,18,11,1,66,850,916,505,1000,1000,1916,2916,
4,Gpop,AniStreamz,Expert,Single,12,Tori no Uta,122,2439,184,6.03,138,0,0,27,0.75,0.807,5.11,6.93,7.12,1 (14) 35 14 42 18 (6) 1 ~1~ 6 17 3 (7) 1,120,97.92120337,19,11,1,44,900,944,559,1000,1000,1944,2944,
5,freyja,Freyja's Grimoire,Expert,Single,12,Electronic Coke FP 128,128,6193,533,16.66,306,0,0,195,0.5741,0.6083,1.57,6.28,6.45,16 (19) 15 (3) 32 (8) 8 (8) 8 (5) 10 (9) 24 (24) 8 (8) 7 (9) 32 (9) 7 (12) 3 (2) 7 (20) 3 (2) 15 (22) 4 6 11 (10) 23 (3) 7 (8) 16 (9) 14 (5) 30,120,138.1369723,21,11,1,174,1000,1174,1000,1000,1000,2174,3174,
6,sorae,Big Waves,Expert,Single,12,I'm Coming,135,1113,98,2.9,54,0,0,15,0.551,0.7297,3.6,7.45,7.9,1 7 3 4 (8) 7 (7) 17 3 12,130,32.61555055,8,11,1,327,350,677,47,1000,1000,1677,2677,
7,Xynn,Xynn's LVTS 2,Expert,Single,12,Crazy Loop (Mm Ma Ma),133,1457,118,3.55,82,0,0,20,0.6949,0.7664,4.1,7.48,7.53,7 (4) 3 (4) 10 (2) 7 7 7 (4) 3 (4) 10 (2) 7 7 7 7,130,53.57259037,15,11,1,283,700,983,634,1000,1000,1983,2983,
8,Okami,StS,Expert,Single,12,Mind Echoes,138,2157,176,5.1,103,0,0,40,0.5852,0.6023,2.58,7.25,7.25,3 3 3 3 3 3 6 8 6 1 (14) 1 3 3 3 2 (2) 3 3 6 4 3 6 1 (15) 1 (9) 1 3 3 3 2 4 3 3 2 1,130,45.76545725,12,11,1,392,550,942,555,1000,1000,1942,2942,
9,Xynn,Xynn's Mix Tapes,Expert,Single,12,Space Invaders,132,2425,186,5.64,134,0,0,40,0.7204,0.7444,3.35,7.37,7.38,20 (7) 8 14 1 15 (4) 20 (23) 8 6 (2) 6 1 31 (4) 4,130,83.55933625,17,11,1,261,800,1061,784,1000,1000,2061,3061,
10,nv,streammaniaIIDX 1st Style,Expert,Single,12,Sense 2007,140,984,70,2,60,0,0,4,0.8571,0.9091,15,8.57,8.62,1 15 16 (4) 28,140,51.51454909,14,11,1,435,650,1085,830,1000,1000,2085,3085,
