ID,Stepartist,Pack,Difficulty,Mode,Rating,Song,BPM,Steps,Measures,Length,16ths,24ths,32nds,Break,% Stream,Adj. % Stream,S/B Ratio,Density,Adj. Density,Breakdown,Tier,16ths Mod,16ths Rank,Diff Rating,Score,DP,EP,DP+EP,DP/EP,RP,AP,Total (no bonuses),Total,
1,yutsi,Dark Psychungus,Expert,Single,18,Doomsday,185,5452,361,7.81,339,0,0,16,0.9391,0.9522,21.19,11.84,11.81,9 (2) 83 (14) 31 216,180,313.4474793,18,11,1,109,850,959,565,1000,1000,1959,2959,147
2,Burn,Crispy Liquid,Expert,Single,18,Burning Arena UFK Arena 2016 FB 187,187,5750,419,8.96,344,0,0,45,0.821,0.86,7.64,10.98,11.18,16 (14) 17 31 15 32 46 14 (2) 15 31 13 (3) 39 7 6 7 1 (24) 38 (2) 16,180,270.2439403,15,11,1,153,700,853,112,1000,1000,1853,2853,
3,@@,Xynn's Measuring Tapes,Expert,Single,18,Fractal Glitch Works (Part 3) Nirvikalpa Samadhi,180,8710,556,12.36,531,0,0,4,0.955,0.9655,132.75,11.86,11.87,16 15 7 38 (2) 30 (2) 114 11 28 1 4 9 1 55 39 7 11 93 52,180,501.9935836,19,11,1,0,900,900,312,1000,1000,1900,2900,
4,Xynn,Xynn's Inferno,Expert,Single,18,The Second Circle - Lust,180,9882,655,14.56,611,0,0,37,0.9328,0.94,16.51,11.4,11.4,96 33 (2) 88 (7) 81 (4) 3 68 (2) 32 (6) 130 (16) 80,180,553.4084371,20,11,1,0,950,950,526,1000,1000,1950,2950,
5,Robbumon,Sick Music 2,Expert,Single,18,Metrik Essentials Mix FB 180,180,12262,838,18.62,747,0,0,10,0.8914,0.9701,74.7,11.22,11.8,1 143 46 (2) 15 31 63 32 174 15 15 15 15 14 (2) 30 (2) 30 (2) 46 (2) 15 15 32,180,711.5853677,21,11,1,0,1000,1000,740,1000,1000,2000,3000,
6,tyler.exe,tyler.ini,Expert,Single,18,Freezing Rose,190,3998,287,6.04,246,0,0,0,0.8571,1,0,12.41,12.66,246,190,246,14,11,1,218,650,868,176,1000,1000,1868,2868,
7,Nav,Psychedelia II,Expert,Single,18,Drift,195,4734,321,6.58,252,0,0,40,0.785,0.8077,6.3,12.06,12.08,15 3 11 (9) 4 (2) 1 9 (3) 3 7 7 11 (2) 2 15 7 2 2 3 (3) 4 (4) 3 3 3 3 3 (9) 48 (8) 3 3 3 3 15 56,190,179.060863,11,11,1,327,500,827,0,1000,1000,1827,2827,
8,sorae,The Joy of Streaming,Expert,Single,18,Infinity Engine,190,5612,387,8.15,337,0,0,14,0.8708,0.9258,24.07,12.17,12.2,7 15 15 7 15 7 15 7 7 30 (2) 8 (8) 63 15 23 16 (2) 32 (2) 31 24,190,297.8910006,16,11,1,218,750,968,603,1000,1000,1968,2968,
9,t3a StarrySergal,Big Waves,Expert,Single,18,jun NONSTOP MEGAMIX,192,8414,619,12.9,462,0,0,126,0.7464,0.7636,3.67,10.95,11.05,24 16 (9) 54 15 (9) 7 (9) 7 (5) 4 (4) 15 16 (8) 47 19 (13) 23 (9) 4 (7) 8 15 16 (8) 6 (4) 8 15 15 (5) 3 (3) 13 7 6 (2) 15 7 7 7 7 7 (13) 3 (9) 16 7 (9) 8 15,190,300.0733641,17,11,1,261,800,1061,1000,1000,1000,2061,3061,
10,StarrySergal,Goreshit 2020,Expert,Single,18,raveland revisited (extra shit mix),201,3879,268,5.33,219,0,0,33,0.8172,0.8555,6.64,12.31,12.44,7 7 15 8 (8) 7 15 (9) 32 (16) 128,200,170.6067214,10,11,1,457,450,907,342,1000,1000,1907,2907,
11,Kyy Tuuc,Kyypakkaus 3,Expert,Single,18,God Of War (The Speed Freak's Remix),205,3911,330,6.44,226,0,0,66,0.6848,0.7635,3.42,10.99,11.18,15 7 6 (2) 14 (2) 16 (16) 15 48 (40) 30 (2) 14 (2) 15 14 (2) 32,200,146.7583787,9,11,1,544,400,944,500,1000,1000,1944,2944,
12,t3a,LSG ver.2022 Part 1,Expert,Single,18,SpeedBall Switch,200,4411,310,6.2,255,0,0,8,0.8226,0.9043,31.88,12.34,12.7,8 23 7 7 7 15 8 (4) 19 7 31 7 23 7 15 7 7 8 (4) 19 7 9 7 7,200,217.0902055,12,11,1,435,550,985,676,1000,1000,1985,2985,
13,ITGAlex,ITGAlex's Stamina Safari,Expert,Single,18,Neural Grid,200,4843,386,7.72,279,0,0,42,0.7228,0.8611,6.64,11.47,12,35 31 30 (2) 32 (32) 30 (2) 31 24 (4) 34 (2) 32,200,219.6291324,13,11,1,435,600,1035,889,1000,1000,2035,3035,
14,Archi,Masochisma Mk 1,Expert,Single,18,Chiron,211,2633,229,4.34,154,0,0,52,0.6725,0.7476,2.96,11.1,11.17,1 (3) 89 (40) 32 (9) 32,210,96.69223284,5,11,1,674,200,874,201,1000,1000,1874,2874,
