relics_id,relics_name,relics_description,relics_properties,relics_source,relics_consumable,relics_portion,relics_value,relics_imageurl,formula,special,notes
0,Stone Blade,A low-level blade made from stone.<br/><br/>Somewhat enhanced by the accuracy of your attacks.,Lv. 1 AP Bonus,0,0,0,967,stoneblade.png,"ROUNDDOWN((AP*0.1),0)",,
1,Stone Knife,A low-level knife made from stone.<br/><br/>Somewhat effective against fast opponents.,Lv. 1 DP Bonus,0,0,0,385,stoneknife.png,"ROUNDDOWN((DP*0.1),0)",,
2,Stone Axe,A low-level axe made from stone.<br/><br/>Somewhat effective against large opponents.,Lv. 1 EP Bonus,0,0,0,385,stoneaxe.png,"ROUNDDOWN((EP*0.1),0)",,
3,Short Bow,"A basic bow that won't impact the effectiveness of your arrows much, but will at least allow you to make use of them.",+0 BP,0,0,0,288,shortbow.png,"If(ARROW IS EQUIPPED,0,0)",IS A BOW,ARROW MUST BE EQUIPPED
4,Stone Arrow,A low-level arrow tipped with stone.<br/><br/>Deals weak damage with a bow equipped.  Single use.,+125 BP with bow equipped,0,1,0,190,stonearrow.png,"If(BOW IS EQUIPPED,125,0)",IS AN ARROW,BOW MUST BE EQUIPPED
5,Bronze Blade,A mid-level blade made from bronze.<br/><br/>Enhanced by the accuracy of your attacks.,Lv. 2 AP Bonus,0,0,0,9700,bronzeblade.png,"ROUNDDOWN((AP*0.2),0)",,
6,Bronze Knife,A mid-level knife made from bronze.<br/><br/>Effective against fast opponents.,Lv. 2 DP Bonus,0,0,0,8146,bronzeknife.png,"ROUNDDOWN((DP*0.2),0)",,
7,Bronze Axe,A mid-level axe made from bronze.<br/><br/>Effective against large opponents.,Lv. 2 EP Bonus,0,0,0,8146,bronzeaxe.png,"ROUNDDOWN((EP*0.2),0)",,
8,Composite Bow,Bow made from a synthesis of materials to allow for improved flexibility.,+50 BP with arrow equipped,0,0,0,6982,compositebow.png,"If(ARROW IS EQUIPPED,50,0)",IS A BOW,ARROW MUST BE EQUIPPED
9,Bronze Arrow,A mid-level arrow tipped with bronze.<br/><br/>Deals good damage with a bow equipped.  Single use.,+225 BP with bow equipped,0,1,0,5819,bronzearrow.png,"If(BOW IS EQUIPPED,225,0)",IS AN ARROW,BOW MUST BE EQUIPPED
10,Mythril Blade,A high-level blade made from mythril.<br/><br/>Strongly enhanced by the accuracy of your attacks.,Lv. 3 AP Bonus,0,0,0,44629,mythrilblade.png,"ROUNDDOWN((AP*0.3),0)",,
11,Mythril Knife,A high-level knife made from mythril.<br/><br/>Strongly effective against fast opponents.,Lv. 3 DP Bonus,0,0,0,39778,mythrilknife.png,"ROUNDDOWN((DP*0.3),0)",,
12,Mythril Axe,A high-level axe made from mythril.<br/><br/>Strongly effective against large opponents.,Lv. 3 EP Bonus,0,0,0,39778,mythrilaxe.png,"ROUNDDOWN((EP*0.3),0)",,
13,Long Bow,"A large, strong bow capable of subduing powerful monsters.",+100 BP with arrow equipped,0,0,0,34441,longbow.png,"If(ARROW IS EQUIPPED,100,0)",IS A BOW,ARROW MUST BE EQUIPPED
14,Mythril Arrow,A high-level arrow tipped with mythril.<br/><br/>Deals strong damage with a bow equipped.  Single use.,+300 BP with bow equipped,0,1,0,29105,mythrilarrow.png,"If(BOW IS EQUIPPED,300,0)",IS AN ARROW,BOW MUST BE EQUIPPED
15,Crystal Sword,A stunningly beautiful crystal sword.<br/><br/>Incredibly enhanced by the accuracy of your attacks.,Lv. 4 AP Bonus,0,0,0,61042,crystalsword.png,"ROUNDDOWN((AP*0.4),0)",,
16,Diamond Sword,An immaculate diamond sword.<br/><br/>Maximally enhanced by the accuracy of your attacks.,Lv. 5 AP Bonus,0,0,0,91203,diamondsword.png,"ROUNDDOWN((AP*0.5),0)",,
17,Silver Stopwatch,Stopwatch imbued with time magic.,45 seconds added to break timer,0,1,0,8909,silverstopwatch.png,0,,ADDS 45 SECONDS TO BREAK TIMER
18,Accuracy Potion,"An old DPRT concoction, this potion grows more potent as you accurately defeat enemies.","At end of set, +BP equal to (1000^average song score) - 50",0,1,0,47319,accuracypotion.png,0,,"AT END OF SET: IFERROR(IF(ROUNDDOWN(1000^AVERAGE SCORE OF PASSED SONGS,0)-50<0,0,ROUNDDOWN(1000^AVERAGE SCORE OF PASSED SONGS,0)-50),0)"
