ID,Stepartist,Pack,Difficulty,Mode,Rating,Song,BPM,Steps,Measures,Length,16ths,24ths,32nds,Break,% Stream,Adj. % Stream,S/B Ratio,Density,Adj. Density,Breakdown,Tier,16ths Mod,16ths Rank,Diff Rating,Score,DP,EP,DP+EP,DP/EP,RP,AP,Total (no bonuses),Total,
1,SirDelins,World's End Stamina,Expert,Single,25,Break Of Day,256,6013,394,6.16,360,0,0,2,0.9137,0.9524,180,16.62,16.83,39 63 15 23 38 4 3 7 15 15 24 (2) 7 47 7 7 15 15 16,250,332.9764506,22,12.5,1,94,914,1008,691,1000,1000,2008,3008,275
2,Janus5k,Stamina Showcase 3,Expert,Single,25,Panic Attack FB 255,255,6556,459,7.2,397,0,0,50,0.8649,0.8881,7.94,15.55,15.56,24 (5) 54 (17) 25 (3) 11 (13) 48 (8) 26 (2) 146 (2) 63,250,328.3443132,21,12.5,1,79,870,949,542,1000,1000,1949,2949,
3,Xynn,Xynn's Inferno,Expert,Single,25,The Ninth Circle - Treachery,250,9631,641,10.26,587,0,0,34,0.9158,0.9422,17.26,15.77,15.95,53 (2) 1 (2) 50 (4) 7 63 88 (8) 161 (16) 96 (2) 68,250,533.6629604,24,12.5,1,0,1000,1000,671,1000,1000,2000,3000,
4,SirDelins,Delins Incredibly Cool Content 2,Expert,Single,25,Xolodilnik,250,13024,941,15.06,735,0,0,171,0.7811,0.7878,4.3,14.53,14.54,16 (4) 58 (2) 1 (2) 20 11 (2) 31 (10) 19 12 (4) 7 (2) 46 1 1 3 7 7 3 11 (5) 14 (2) 11 14 3 (2) 16 (40) 32 (16) 31 32 (10) 2 (4) 7 7 7 8 (10) 8 (2) 32 (5) 7 (3) 47 15 7 5 10 2 7 2 (38) 15 15 24 (6) 3 16 (2) 10 48 24,250,501.8257027,23,12.5,1,0,957,957,562,1000,1000,1957,2957,
5,Chief Skittles,Trails of Cold Stream IV,Expert,Single,25,Great Plains - Pan-Gaia,265,2711,192,2.9,164,0,0,0,0.8542,1,0,16.63,17.67,164,260,164,18,12.5,1,235,740,975,608,1000,1000,1975,2975,
6,Dispolca,ITGMaker,Expert,Single,25,Ground Dasher,268,3135,227,3.39,185,0,0,16,0.815,0.9204,11.56,15.56,16.92,140 (4) 15 (9) 11 (3) 19,260,162.0071956,17,12.5,1,282,696,978,615,1000,1000,1978,2978,
7,Archi,Pendulum Act IV,Expert,Single,25,Slam (Hard),261,4531,339,5.2,270,0,0,8,0.7965,0.9712,91.5,15.28,17.15,/1/ 1 /63/ 1 (2) /45/ 1 /71/,260,257.6663124,20,12.5,1,172,827,999,668,1000,1000,1999,2999,
8,StoryTime,Arc Stream Works,Expert,Single,25,Condemnation Wings II (Restep) 2022 Rebuild,264,4869,372,5.64,280,0,0,70,0.7527,0.7955,4,14.88,15.07,19 56 (2) 51 (33) 24 36 (15) 34 (20) 60,260,194.1700872,19,12.5,1,219,783,1002,676,1000,1000,2002,3002,
9,sorae,god peed,Expert,Single,25,in the groove (ddr vip).wav,274,1888,151,2.21,109,0,0,9,0.7218,0.9237,18.75,16.52,17.64,/15/ (2) /14/ 1 /31/ 1 /7/ (2) /6/,270,96.00105544,12,12.5,1,375,479,854,303,1000,1000,1854,2854,
10,StarrySergal,Stamina Alley,Expert,Single,25,Heel and Toe FP 273,273,1970,132,1.9,122,0,0,0,0.9242,1,0,18.22,18.2,/81/,270,122,15,12.5,1,360,609,969,592,1000,1000,1969,2969,
11,mattm,Stamina Alley,Expert,Single,25,Not In Love (feat. Robert Smith),272,2686,242,3.56,160,0,0,48,0.6612,0.7692,3.33,13.53,14.47,48 (16) 64 (32) 48,270,105.1435954,13,12.5,1,344,522,866,333,1000,1000,1866,2866,
12,tyler.exe,tyler.exe,Expert,Single,25,Sweetness,270,3132,240,3.55,189,0,0,36,0.7875,0.8326,5.25,15.61,15.54,4 (4) 4 (4) 4 (4) 20 (4) 4 (4) 4 (4) 4 (4) 19 48 (8) 31 47,270,140.9808273,16,12.5,1,313,653,966,585,1000,1000,1966,2966,
13,tyler.exe,tyler.ini,Expert,Single,25,Mine,286,1732,155,2.17,102,0,0,28,0.6581,0.7727,3.64,13.95,15.45,4 (4) 4 (4) 4 (4) 24 7 (4) 12 (4) 4 (4) 12 (4) 24 7,280,67.51769872,10,12.5,1,563,392,955,557,1000,1000,1955,2955,
14,JNero,Stamina Secret Santa 2023,Expert,Single,25,yumeHolic desu ga?,283,2046,197,2.79,102,0,0,77,0.5178,0.5604,1.32,12.42,12.76,1 1 1 (19) 6 (11) 21 (19) 16 (9) 22 (6) 1 1 (3) 10 (10) 22,280,40.38286939,6,12.5,1,516,218,734,0,1000,1000,1734,2734,
15,doughbun,Im Bunny !!!,Expert,Single,25,Omori Friends Boss Theme,288,2208,208,2.89,115,0,0,59,0.5529,0.6571,1.95,12.86,14.05,16 (16) 16 (16) 16 (7) 36 (20) 15 16,280,58.73651673,9,12.5,1,594,348,942,524,1000,1000,1942,2942,
