ID,Stepartist,Pack,Difficulty,Mode,Rating,Song,BPM,Steps,Measures,Length,16ths,24ths,32nds,Break,% Stream,Adj. % Stream,S/B Ratio,Density,Adj. Density,Breakdown,Tier,16ths Mod,16ths Rank,Diff Rating,Score,DP,EP,DP+EP,DP/EP,RP,AP,Total (no bonuses),Total,
1,ITGAlex,katagiri,Expert,Single,23,Oriental Misology FP 238,238,5745,440,7.39,347,0,0,56,0.7886,0.8463,6.2,13.9,13.89,15 23 16 (2) 9 4 (8) 24 (14) 2 (2) 32 (8) 7 16 (8) 8 (2) 11 4 (4) 28 16 100 (8) 32,230,265.6858469,16,11,1,191,750,941,197,1000,1000,1941,2941,114
2,Janus5k,Stamina Showcase 2,Expert,Single,23,The Ninth Wave,238,6295,482,14.61,375,0,0,64,0.778,0.8446,5.86,7.38,7.73,72 (16) 23 63 16 (16) 23 64 (16) 27 16 (16) 23 48,230,286.2022153,17,11,1,191,800,991,350,1000,1000,1991,2991,
3,yutsi,yutsi-type beats,Expert,Single,23,Naruto RMX,238,7451,558,9.38,444,0,0,26,0.7957,0.9098,17.08,14.15,14.92,7 15 7 23 6 (2) 15 14 (2) 23 31 16 (16) 15 7 6 (2) 5 5 3 31 41 7 23 47 30 (2) 23 30 (2) 14,230,381.6774149,20,11,1,191,950,1141,810,1000,1000,2141,3141,
4,Nav & Levitas,Psychedelia 2,Expert,Single,23,Parallax (Rerestep) FP 230,230,11056,716,12.45,672,0,0,13,0.9385,0.9655,51.69,15.07,15.11,15 15 15 15 31 31 76 (4) 111 15 159 79 15 31 (9) 64,230,635.2913148,21,11,1,0,1000,1000,378,1000,1000,2000,3000,
5,YourVinished,Trails of Cold Stream IV,Expert,Single,23,Calm Passion,248,2524,164,2.65,156,0,0,4,0.9512,0.975,39,16.3,16.29,30 (2) 62 (2) 64,240,149.8069574,12,11,1,429,550,979,313,1000,1000,1979,2979,
6,mattm,Stamina Alley,Expert,Single,23,Solaris FB 246,246,3387,219,3.56,208,0,0,3,0.9498,0.9674,69.33,16.07,16.1,13 15 31 63 47 (3) 39,240,197.2572925,14,11,1,381,650,1031,473,1000,1000,2031,3031,
7,Janus5k,Gloryhammer,Expert,Single,23,Magic Dragon,240,4629,323,5.38,283,0,0,18,0.8762,0.9279,15.72,14.79,15.11,16 (2) 23 16 (4) 23 32 (8) 8 (2) 23 32 (2) 39 71,240,251.066238,15,11,1,239,700,939,191,1000,1000,1939,2939,
8,Kyy,Big Waves,Expert,Single,23,Eljektronnyi Mir,240,8919,655,10.92,504,0,0,116,0.7695,0.8025,4.34,13.7,13.94,15 80 (16) 15 16 (15) 16 (17) 145 23 8 (16) 31 16 (18) 7 7 11 3 (17) 48 (15) 29 (2) 34,240,354.4398974,19,11,1,239,900,1139,804,1000,1000,2139,3139,
9,Dingoshi & Okami & UVCat,Dingoshi Ramen 2,Expert,Single,23,Deltamix,240,12155,1030,17.17,671,0,0,316,0.6515,0.6657,2.12,11.98,12.04,1 (7) 1 (7) 1 (8) 6 (2) 22 (2) 32 (7) 7 (2) 24 1 1 3 (7) 1 (8) 6 (2) 32 (56) 18 (29) 1 (3) 1 (4) 6 (4) 40 (2) 3 14 (2) 14 16 (13) 3 15 7 32 5 (2) 7 7 7 16 (4) 20 (44) 15 15 23 (3) 7 6 (2) 7 (2) 22 (2) 52 (4) 24 (8) 20 14 (9) 6 (2) 7 12 2 7 (61) 6 (6) 24 9 (2) 15 8,240,349.9195533,18,11,1,239,850,1089,651,1000,1000,2089,3089,
10,StoryTime,Tachyon Rebirth,Expert,Single,23,Intersect Thunderbolt,250,1995,133,2.13,120,0,0,7,0.9023,0.9375,17.14,15.99,16.11,1 (4) 1 (3) 67 51,250,108.2269173,9,11,1,477,400,877,0,1000,1000,1877,2877,
11,Levitas,Theoretical Chiptune Pack,Expert,Single,23,Tin Ore (Hard),257,2038,159,2.48,126,0,0,12,0.7925,0.913,10.5,15.13,15.71,/48/ (8) /36/,250,108.9240521,10,11,1,643,450,1093,663,1000,1000,2093,3093,
12,ITGAlex,Katagiri,Expert,Single,23,risk union,250,3107,241,3.86,189,0,0,30,0.7842,0.8591,6.3,14.64,14.7,35 72 (7) 1 (2) 1 (21) 80,250,148.2285139,11,11,1,477,500,977,307,1000,1000,1977,2977,
13,ITGAlex,bigger waves,Expert,Single,23,Akayake no Majo,254,3410,273,4.3,204,0,0,36,0.7473,0.843,5.67,14.67,14.78,8 (6) 18 (2) 1 59 32 (24) 70 (4) 16,250,155.2223617,13,11,1,572,600,1172,905,1000,1000,2172,3172,
14,ITGAlex,Noah,Expert,Single,23,Astral tale,268,1746,162,2.42,93,0,0,35,0.5741,0.7266,2.66,13.54,14.82,8 (2) 16 (8) 4 (3) 17 (20) 32 (2) 16,260,55.78989939,3,11,1,905,100,1005,393,1000,1000,2005,3005,
15,mattm,Stamina Alley,Expert,Single,23,Vagrant (ft. Veela),263,1727,164,2.49,96,0,0,22,0.5854,0.8136,4.71,13.12,14.71,1 /32/ (14) 1 /32/,260,69.01265521,5,11,1,786,200,986,335,1000,1000,1986,2986,
16,zaniel,Junts 2,Expert,Single,23,Black Lamp (Restep),260,1723,127,1.95,102,0,0,17,0.8031,0.85,6,15.3,15.41,14 (2) 10 (2) 64 4 (4) 8 (9) 2,260,78.64487978,7,11,1,715,300,1015,424,1000,1000,2015,3015,
17,ITGAlex,Katagiri,Expert,Single,23,kuu,260,2854,283,4.35,153,0,0,72,0.5406,0.6681,2.12,11.49,13.09,15 (17) 15 29 3 14 1 (33) 7 (2) 14 (3) 16 (8) 7 (9) 32,260,80.24865933,8,11,1,715,350,1065,577,1000,1000,2065,3065,
